Applicability,Service,Reporting period,Category of incompatibility with the provider's terms and conditions,Description of the sub-category ,Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative,Contextual Information on Number of measures taken after detection with solely automated means,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,X,2025-07-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,Includes measures taken under X’s Abuse and Harassment policy.,"24,644",0,"24,424",0,0,0,0,0,0,0,0,0,0,0,220,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,"Includes measures taken under X’s Abuse and Harassment policy and X's Hateful Conduct policy, and may include actions taken in respect of Incitement against Women, which X is not able to identify separately.",101,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,"Includes measures taken under X’s Abuse and Harassment policy and X's Hateful Conduct policy, including incitement agains women, which X is not able to identify an map separately to this subcategory.",,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_CYBER_STALKING,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Includes measures taken under X’s Non-consensual Nudity policy, and may include actions taken in respect of Deepfake material, Non-consensual Image Sharing and Deepfakes Against Women, which  X is not able to identify separately.","13,204","2,132","12,827",0,0,0,0,0,0,0,0,0,0,0,377,0,"Includes measures taken under X’s Non-consensual Nudity policy, including deepfake material and includes non-concensual image sharing and deepfakes against women, which  X is not able to identify separately.",,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_OTHER,Includes measures taken under X’s Abuse and Harassment policy that have not been included in other Cyber Violence subcategories.,"36,772",0,"15,079",0,"21,229",0,0,0,0,0,0,0,0,0,464,0,Includes measures taken under X’s Abuse and Harassment policy that have not been included in other Cyber Violence subcategories.,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,"3,740",82,"3,679",0,0,0,0,0,0,0,0,0,0,0,61,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_DATA_FALSIFICATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_OTHER,Includes measures taken under X’s Private Content policy.,"3,740",82,"3,679",0,0,0,0,0,0,0,0,0,0,0,61,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,"1,376,561","1,193,337","588,987",0,"787,569",0,0,0,0,0,0,0,0,0,5,0,,,,,,,,,,,,,,,,
