Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,329,0,415,0,3,,56,0,249,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_OTHER,"Includes notices reclassified from 'Pornography or sexualized content' (all sub-categories) and 'Age-specific restrictions', as well as  notices where the reporter selected 'Other' or did not specify a sub-category under Protection of minors.","2,628",5,"5,096",9,3,75,537,0,"2,012",5,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,"9,325",6,"9,930",6,2,0,"1,576",6,"7,486",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,"2,278",0,"2,457",0,1,,209,0,"2,038",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,169,0,198,0,2,,5,0,161,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,879,0,884,0,2,,62,0,784,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_TERRORIST_CONTENT,,"4,627",0,"5,102",0,3,,"1,093",0,"3,438",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_OTHER,Includes notices where the reporter selected 'Other' or did not specify a sub-category under Risk for public security.,"1,372",6,"1,289",6,3,0,207,6,"1,065",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,"23,955",6,"11,785",26,5,11,"1,285",0,"18,861",6,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,"5,655",6,"3,551",26,7,11,326,0,"4,491",6,,,,,,,,,,
