Applicability,Service,Reporting period,Category label,Category of incompatibility with the provider's terms and conditions,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative,Contextual Information on Number of measures taken after detection with solely automated means,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,TikTok,2025-07-01/2025-12-31,Category 7g,KEYWORD_OTHER,"Under this category, we consider violations of the following policies: IP infringement.",140158,78129,140158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 8,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,994834,755750,497266,,,,,,497071,,,,497,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 8a,KEYWORD_MISINFORMATION_DISINFORMATION,"Under this category, we consider violations of the following policies: Integrity and Authenticity - Misinformation.",631638,426732,295599,,,,,,335737,,,,302,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 8b,KEYWORD_VIOLATION_EU_LAW,"Under this category, we consider violations of the following policies: Integrity and Authenticity - Civic and Election Integrity.",64076,59448,27717,,,,,,36168,,,,191,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 8c,KEYWORD_VIOLATION_NATIONAL_LAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 8d,KEYWORD_OTHER,"Under this category, we consider violations of the following policies: Integrity and Authenticity - Edited Media and AI-Generated Content (AIGC).",299120,269570,173950,,,,,,125166,,,,4,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,85825447,81708466,10520830,,,,,,75160199,,,,144418,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 9a,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,"Under this category, we consider violations of the following policies: Youth Safety and Well-Being - Minimum Age Requirement.",66181622,63357873,3855620,,,,,,62325999,,,,3,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider violations of the following policies: Youth Safety and Well-Being - Youth Sexual and Physical Abuse.",2604655,2243661,2376176,,,,,,213712,,,,14767,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 9c,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 9d,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 9e,KEYWORD_UNSAFE_CHALLENGES,"Under this category, we consider violations of the following policies: Mental and Behavioral Health - Dangerous Activity and Challenges.",4782452,4731162,2958617,,,,,,1704563,,,,119272,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 9f,KEYWORD_OTHER,"Under this category, we consider violations of the following policies: Youth Safety and Well-Being - Nudity and Body Exposure, Youth Safety.",12256718,11375770,1330417,,,,,,10915925,,,,10376,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,509151,419635,389189,,,,,,117671,,,,2291,,,,,,,,,,,,,,,,,,,
