Applicability,Service,Reporting period,Category label,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,TikTok,2025-07-01/2025-12-31,Category 8,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 8a,KEYWORD_MISINFORMATION_DISINFORMATION,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 8b,KEYWORD_VIOLATION_EU_LAW,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 8c,KEYWORD_VIOLATION_NATIONAL_LAW,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 8d,KEYWORD_OTHER,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,TOTAL,0,0,,0,700,,0,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 9a,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation.",TOTAL,0,0,,0,673,,92,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 9c,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 9d,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 9e,KEYWORD_UNSAFE_CHALLENGES,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",TOTAL,,,,,27,,51,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,TOTAL,0,0,,0,3815,,0,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive.",TOTAL,,,,,242,,127,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 10b,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 10c,KEYWORD_RISK_PUBLIC_HEALTH,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism.",TOTAL,0,0,,0,3544,,50,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult.",TOTAL,0,0,,0,29,,151,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,TOTAL,0,0,,0,1468,,0,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",TOTAL,,,,,457,,188,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 11b,KEYWORD_INAUTHENTIC_ACCOUNTS,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 11c,KEYWORD_INAUTHENTIC_LISTINGS,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 11d,KEYWORD_INAUTHENTIC_USER_REVIEWS,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 11e,KEYWORD_PHISHING,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 11f,KEYWORD_PYRAMID_SCHEMES,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail.",TOTAL,0,0,,0,1011,,148,,,,,,,
